state_code,state,district,districts_2,censuscode,state_district,rural45,total45
1,Jammu & Kashmir,Kupwara,Kupwara,1,Jammu & Kashmir Kupwara,41.8,47.2
1,Jammu & Kashmir,Badgam,Badgam,2,Jammu & Kashmir Badgam,*,*
1,Jammu & Kashmir,Leh(Ladakh),Leh Ladakh,3,Jammu & Kashmir Leh(Ladakh),*,*
1,Jammu & Kashmir,Kargil,Kargil,4,Jammu & Kashmir Kargil,*,*
1,Jammu & Kashmir,Punch,Punch,5,Jammu & Kashmir Punch,*,*
1,Jammu & Kashmir,Rajouri,Rajouri,6,Jammu & Kashmir Rajouri,*,*
1,Jammu & Kashmir,Kathua,Kathua,7,Jammu & Kashmir Kathua,*,*
1,Jammu & Kashmir,Baramula,Baramula,8,Jammu & Kashmir Baramula,*,-86.8
1,Jammu & Kashmir,Bandipore,Bandipora,9,Jammu & Kashmir Bandipore,-37.4,-43.1
1,Jammu & Kashmir,Srinagar,Srinagar,10,Jammu & Kashmir Srinagar,,-94.6
1,Jammu & Kashmir,Ganderbal,Ganderbal,11,Jammu & Kashmir Ganderbal,*,*
1,Jammu & Kashmir,Pulwama,Pulwama,12,Jammu & Kashmir Pulwama,-90.3,-89.9
1,Jammu & Kashmir,Shupiyan,Shopian,13,Jammu & Kashmir Shupiyan,-88,-90.3
1,Jammu & Kashmir,Anantnag,Anantnag,14,Jammu & Kashmir Anantnag,*,*
1,Jammu & Kashmir,Kulgam,Kulgam,15,Jammu & Kashmir Kulgam,*,*
1,Jammu & Kashmir,Doda,Doda,16,Jammu & Kashmir Doda,*,*
1,Jammu & Kashmir,Ramban,Ramban,17,Jammu & Kashmir Ramban,*,*
1,Jammu & Kashmir,Kishtwar,Kishtwar,18,Jammu & Kashmir Kishtwar,*,*
1,Jammu & Kashmir,Udhampur,Udhampur,19,Jammu & Kashmir Udhampur,*,*
1,Jammu & Kashmir,Reasi,Reasi,20,Jammu & Kashmir Reasi,*,*
1,Jammu & Kashmir,Jammu,Jammu,21,Jammu & Kashmir Jammu,*,*
1,Jammu & Kashmir,Samba,Samba,22,Jammu & Kashmir Samba,*,-63.6
2,Himachal Pradesh,Chamba,Chamba,23,Himachal Pradesh Chamba,-51.4,-51
2,Himachal Pradesh,Kangra,Kangra,24,Himachal Pradesh Kangra,-37.1,-37.1
2,Himachal Pradesh,Lahul and Spiti,Lahul Spiti,25,Himachal Pradesh Lahul and Spiti,-54.3,-54.3
2,Himachal Pradesh,Kullu,Kullu,26,Himachal Pradesh Kullu,*,-59
2,Himachal Pradesh,Mandi,Mandi,27,Himachal Pradesh Mandi,-40,-37.7
2,Himachal Pradesh,Hamirpur,Hamirpur,28,Himachal Pradesh Hamirpur,-54.3,-54.1
2,Himachal Pradesh,Una,Una,29,Himachal Pradesh Una,-54.2,-51.8
2,Himachal Pradesh,Bilaspur,Bilaspur,30,Himachal Pradesh Bilaspur,29.5,29.8
2,Himachal Pradesh,Solan,Solan,31,Himachal Pradesh Solan,-46.4,-53.4
2,Himachal Pradesh,Sirmaur,Sirmaur,32,Himachal Pradesh Sirmaur,-44.1,-49.4
2,Himachal Pradesh,Shimla,Shimla,33,Himachal Pradesh Shimla,*,*
2,Himachal Pradesh,Kinnaur,Kinnaur,34,Himachal Pradesh Kinnaur,-52.3,-52.3
3,Punjab,Gurdaspur,Gurdaspur,35,Punjab Gurdaspur,52.3,50.7
3,Punjab,Kapurthala,Kapurthala,36,Punjab Kapurthala,-61.5,54
3,Punjab,Jalandhar,Jalandhar,37,Punjab Jalandhar,-44.2,50.6
3,Punjab,Hoshiarpur,Hoshiarpur,38,Punjab Hoshiarpur,-37.5,36.2
3,Punjab,Shahid Bhagat Singh Nagar,Shahid Bhagat Singh Nagar,39,Punjab Sahid Bhagat Singh Nagar,61.6,60.1
3,Punjab,Fatehgarh Sahib,Fatehgarh Sahib,40,Punjab Fatehgarh Sahib,-32.5,37.8
3,Punjab,Ludhiana,Ludhiana,41,Punjab Ludhiana,32,36.3
3,Punjab,Moga,Moga,42,Punjab Moga,16.9,22.8
3,Punjab,Firozpur,Firozpur,43,Punjab Firozpur,-32.1,21.3
3,Punjab,Muktsar,Muktsar,44,Punjab Muktsar,28.1,27.8
3,Punjab,Faridkot,Faridkot,45,Punjab Faridkot,-51.9,45.8
3,Punjab,Bathinda,Bathinda,46,Punjab Bathinda,-46,38.5
3,Punjab,Mansa,Mansa,47,Punjab Mansa,26.7,29.6
3,Punjab,Patiala,Patiala,48,Punjab Patiala,24.1,27.7
3,Punjab,Amritsar,Amritsar,49,Punjab Amritsar,-37.6,50.2
3,Punjab,Tarn Taran,Tarn Taran,50,Punjab Tarn Taran,32.9,35.4
3,Punjab,Rup Nagar,Rupnagar,51,Punjab Rup Nagar,43.1,48.5
3,Punjab,Sahibzada Ajit Singh Nagar,Sahibzada Ajit Singh Nagar,52,Punjab Sahibzada Ajit Singh Nagar,*,-41.5
3,Punjab,Sangrur,Sangrur,53,Punjab Sangrur,-33.8,33.5
3,Punjab,Barnala,Barnala,54,Punjab Barnala,-35,29.5
4,Chandigarh,,Chandigarh,55,,,
5,Uttarakhand,Uttarkashi,Uttarkashi,56,Uttarakhand Uttarkashi,*,*
5,Uttarakhand,Chamoli,Chamoli,57,Uttarakhand Chamoli,*,*
5,Uttarakhand,Rudraprayag,Rudraprayag,58,Uttarakhand Rudraprayag,*,*
5,Uttarakhand,Tehri Garhwal,Tehri Garhwal,59,Uttarakhand Tehri Garhwal,-25.5,-31.2
5,Uttarakhand,Dehradun,Dehradun,60,Uttarakhand Dehradun,40.8,34.8
5,Uttarakhand,Garhwal,Garhwal,61,Uttarakhand Pauri Garhwal,-50,-53.9
5,Uttarakhand,Pithoragarh,Pithoragarh,62,Uttarakhand Pithoragarh,*,*
5,Uttarakhand,Bageshwar,Bageshwar,63,Uttarakhand Bageshwar,*,*
5,Uttarakhand,Almora,Almora,64,Uttarakhand Almora,*,-40.7
5,Uttarakhand,Champawat,Champawat,65,Uttarakhand Champawat,-47.6,51.8
5,Uttarakhand,Nainital,Nainital,66,Uttarakhand Nainital,62.6,64.7
5,Uttarakhand,Udham Singh Nagar,Udham Singh Nagar,67,Uttarakhand Udham Singh Nagar,38.2,39.6
5,Uttarakhand,Hardwar,Hardwar,68,Uttarakhand Hardwar,25,27.2
6,Haryana,Panchkula,Panchkula,69,Haryana Panchkula,*,22.4
6,Haryana,Ambala,Ambala,70,Haryana Ambala,-6.5,15.8
6,Haryana,Yamunanagar,Yamunanagar,71,Haryana Yamunanagar,28.7,27.8
6,Haryana,Kurukshetra,Kurukshetra,72,Haryana Kurukshetra,33.5,29.9
6,Haryana,Kaithal,Kaithal,73,Haryana Kaithal,35.5,31.7
6,Haryana,Karnal,Karnal,74,Haryana Karnal,-39.7,35.1
6,Haryana,Panipat,Panipat,75,Haryana Panipat,35.1,29.4
6,Haryana,Sonipat,Sonipat,76,Haryana Sonipat,-16.9,19
6,Haryana,Jind,Jind,77,Haryana Jind,23.7,20.4
6,Haryana,Fatehabad,Fatehabad,78,Haryana Fatehabad,16,15.6
6,Haryana,Sirsa,Sirsa,79,Haryana Sirsa,34.7,31.3
6,Haryana,Hisar,Hisar,80,Haryana Hisar,26.6,25.1
6,Haryana,Bhiwani,Bhiwani,81,Haryana Bhiwani,21.4,21.4
6,Haryana,Rohtak,Rohtak,82,Haryana Rohtak,-11,24.6
6,Haryana,Jhajjar,Jhajjar,83,Haryana Jhajjar,28.3,25.2
6,Haryana,Mahendragarh,Mahendragarh,84,Haryana Mahendragarh,32,33.4
6,Haryana,Rewari,Rewari,85,Haryana Rewari,22.8,25.5
6,Haryana,Gurgaon,Gurgaon,86,Haryana Gurgaon,10.8,18.1
6,Haryana,Mewat,Mewat,87,Haryana Mewat,20.5,23.5
6,Haryana,Faridabad,Faridabad,88,Haryana Faridabad,,31.3
6,Haryana,Palwal,Palwal,89,Haryana Palwal,20.6,22.2
7,NCT Delhi,North West,North West,90,NCT Delhi North West,,-40.8
7,NCT Delhi,North,North,91,NCT Delhi North,,38.9
7,NCT Delhi,North East,North East,92,NCT Delhi North East,,53.4
7,NCT Delhi,East,East,93,NCT Delhi East,,-35.8
7,NCT Delhi,New Delhi,New Delhi,94,NCT Delhi New Delhi,,*
7,NCT Delhi,Central,Central,95,NCT Delhi Central,,-46
7,NCT Delhi,West,West,96,NCT Delhi West,,32.9
7,NCT Delhi,South West,South West,97,NCT Delhi South West,,46
7,NCT Delhi,South,South,98,NCT Delhi South,,-46.1
8,Rajasthan,Ganganagar,Ganganagar,99,Rajasthan Ganganagar,32.8,34.9
8,Rajasthan,Hanumangarh,Hanumangarh,100,Rajasthan Hanumangarh,21,20
8,Rajasthan,Bikaner,Bikaner,101,Rajasthan Bikaner,-17.8,24.9
8,Rajasthan,Churu,Churu,102,Rajasthan Churu,10.1,11.4
8,Rajasthan,Jhunjhunun,Jhunjhunun,103,Rajasthan Jhunjhunun,14.3,14.7
8,Rajasthan,Alwar,Alwar,104,Rajasthan Alwar,22.9,27.9
8,Rajasthan,Bharatpur,Bharatpur,105,Rajasthan Bharatpur,-32.3,28.9
8,Rajasthan,Dhaulpur,Dhaulpur,106,Rajasthan Dhaulpur,-32.8,-37.5
8,Rajasthan,Karauli,Karauli,107,Rajasthan Karauli,19,18.3
8,Rajasthan,Sawai Madhopur,Sawai Madhopur,108,Rajasthan Sawai Madhopur,12.7,13.5
8,Rajasthan,Dausa,Dausa,109,Rajasthan Dausa,20.3,21.2
8,Rajasthan,Jaipur,Jaipur,110,Rajasthan Jaipur,12.2,20.2
8,Rajasthan,Sikar,Sikar,111,Rajasthan Sikar,20.4,20.9
8,Rajasthan,Nagaur,Nagaur,112,Rajasthan Nagaur,26.3,22.2
8,Rajasthan,Jodhpur,Jodhpur,113,Rajasthan Jodhpur,-20.6,29.8
8,Rajasthan,Jaisalmer,Jaisalmer,114,Rajasthan Jaisalmer,-35.9,-38.3
8,Rajasthan,Barmer,Barmer,115,Rajasthan Barmer,24.5,27.9
8,Rajasthan,Jalor,Jalor,116,Rajasthan Jalor,10.8,13.1
8,Rajasthan,Sirohi,Sirohi,117,Rajasthan Sirohi,13,16.2
8,Rajasthan,Pali,Pali,118,Rajasthan Pali,29.9,32.1
8,Rajasthan,Ajmer,Ajmer,119,Rajasthan Ajmer,25.7,27.1
8,Rajasthan,Tonk,Tonk,120,Rajasthan Tonk,12.2,14.7
8,Rajasthan,Bundi,Bundi,121,Rajasthan Bundi,*,-49.8
8,Rajasthan,Bhilwara,Bhilwara,122,Rajasthan Bhilwara,-28.1,27.4
8,Rajasthan,Rajsamand,Rajsamand,123,Rajasthan Rajsamand,17.6,20
8,Rajasthan,Dungarpur,Dungarpur,124,Rajasthan Dungarpur,28.3,31.2
8,Rajasthan,Banswara,Banswara,125,Rajasthan Banswara,-23.9,-26.8
8,Rajasthan,Chittaurgarh,Chittaurgarh,126,Rajasthan Chittaurgarh,*,*
8,Rajasthan,Kota,Kota,127,Rajasthan Kota,-44.4,35.4
8,Rajasthan,Baran,Baran,128,Rajasthan Baran,*,-40.6
8,Rajasthan,Jhalawar,Jhalawar,129,Rajasthan Jhalawar,*,*
8,Rajasthan,Udaipur,Udaipur,130,Rajasthan Udaipur,-19.4,-28.7
8,Rajasthan,Pratapgarh,Pratapgarh,131,Rajasthan Pratapgarh,*,-35.6
9,Uttar Pradesh,Saharanpur,Saharanpur,132,Uttar Pradesh Saharanpur,19.1,25.4
9,Uttar Pradesh,Muzaffarnagar,Muzaffarnagar,133,Uttar Pradesh Muzaffarnagar,26.4,26.1
9,Uttar Pradesh,Bijnor,Bijnor,134,Uttar Pradesh Bijnor,28.9,30.5
9,Uttar Pradesh,Moradabad,Moradabad,135,Uttar Pradesh Moradabad,27.6,30.4
9,Uttar Pradesh,Rampur,Rampur,136,Uttar Pradesh Rampur,20.9,30.8
9,Uttar Pradesh,Jyotiba Phule Nagar,Jyotiba Phule Nagar,137,Uttar Pradesh Jyotiba Phule Nagar,29.1,26.4
9,Uttar Pradesh,Meerut,Meerut,138,Uttar Pradesh Meerut,28.2,34
9,Uttar Pradesh,Baghpat,Bagpat,139,Uttar Pradesh Baghpat,24.9,22.7
9,Uttar Pradesh,Ghaziabad,Ghaziabad,140,Uttar Pradesh Ghaziabad,31,30.1
9,Uttar Pradesh,Gautam Buddha Nagar,Gautam Buddha Nagar,141,Uttar Pradesh Gautam Buddha Nagar,13.6,25.8
9,Uttar Pradesh,Bulandshahr,Bulandshahar,142,Uttar Pradesh Bulandshahr,30.1,25.7
9,Uttar Pradesh,Aligarh,Aligarh,143,Uttar Pradesh Aligarh,40.6,38.2
9,Uttar Pradesh,Mahamaya Nagar,Mahamaya Nagar,144,Uttar Pradesh Mahamaya Nagar,21.5,27.4
9,Uttar Pradesh,Mathura,Mathura,145,Uttar Pradesh Mathura,22.3,25.3
9,Uttar Pradesh,Agra,Agra,146,Uttar Pradesh Agra,35.7,34.9
9,Uttar Pradesh,Firozabad,Firozabad,147,Uttar Pradesh Firozabad,26.9,30.5
9,Uttar Pradesh,Mainpuri,Mainpuri,148,Uttar Pradesh Mainpuri,22.2,25.3
9,Uttar Pradesh,Budaun,Budaun,149,Uttar Pradesh Budaun,11.8,20.1
9,Uttar Pradesh,Bareilly,Bareilly,150,Uttar Pradesh Bareilly,25.8,35.9
9,Uttar Pradesh,Pilibhit,Pilibhit,151,Uttar Pradesh Pilibhit,34.4,38
9,Uttar Pradesh,Shahjahanpur,Shahjahanpur,152,Uttar Pradesh Shahjahanpur,39.9,42.3
9,Uttar Pradesh,Kheri,Kheri,153,Uttar Pradesh Kheri,-50.9,-48.9
9,Uttar Pradesh,Sitapur,Sitapur,154,Uttar Pradesh Sitapur,-23.6,23.4
9,Uttar Pradesh,Hardoi,Hardoi,155,Uttar Pradesh Hardoi,-32.9,39.4
9,Uttar Pradesh,Unnao,Unnav,156,Uttar Pradesh Unnao,-29,33.2
9,Uttar Pradesh,Lucknow,Lucknow,157,Uttar Pradesh Lucknow,41.7,49.5
9,Uttar Pradesh,Rae Bareli,Rae Bareli,158,Uttar Pradesh Rae Bareli,31.9,38.1
9,Uttar Pradesh,Farrukhabad,Farrukhabad,159,Uttar Pradesh Farrukhabad,18.5,24.1
9,Uttar Pradesh,Kannauj,Kannauj,160,Uttar Pradesh Kannauj,22.1,22.9
9,Uttar Pradesh,Etawah,Etawah,161,Uttar Pradesh Etawah,-33.7,31.1
9,Uttar Pradesh,Auraiya,Auraiya,162,Uttar Pradesh Auraiya,15.2,28
9,Uttar Pradesh,Kanpur Dehat,Kanpur Dehat,163,Uttar Pradesh Kanpur Dehat,-45,42.3
9,Uttar Pradesh,Kanpur Nagar,Kanpur Nagar,164,Uttar Pradesh Kanpur Nagar,-38.5,35.2
9,Uttar Pradesh,Jalaun,Jalaun,165,Uttar Pradesh Jalaun,*,-31
9,Uttar Pradesh,Jhansi,Jhansi,166,Uttar Pradesh Jhansi,-36.9,46.7
9,Uttar Pradesh,Lalitpur,Lalitpur,167,Uttar Pradesh Lalitpur,*,*
9,Uttar Pradesh,Hamirpur,Hamirpur,168,Uttar Pradesh Hamirpur,*,*
9,Uttar Pradesh,Mahoba,Mahoba,169,Uttar Pradesh Mahoba,-30.9,-27.7
9,Uttar Pradesh,Banda,Banda,170,Uttar Pradesh Banda,*,*
9,Uttar Pradesh,Chitrakoot,Chitrakoot,171,Uttar Pradesh Chitrakoot,-18.7,-19.2
9,Uttar Pradesh,Fatehpur,Fatehpur,172,Uttar Pradesh Fatehpur,-25.9,-29.6
9,Uttar Pradesh,Pratapgarh,Pratapgarh,173,Uttar Pradesh Pratapgarh,33.1,33.7
9,Uttar Pradesh,Kaushambi,Kaushambi,174,Uttar Pradesh Kaushambi,-34.5,32.9
9,Uttar Pradesh,Allahabad,Allahabad,175,Uttar Pradesh Allahabad,27.7,39
9,Uttar Pradesh,Bara Banki,Barabanki,176,Uttar Pradesh Bara Banki,-36.3,41.7
9,Uttar Pradesh,Faizabad,Faizabad,177,Uttar Pradesh Faizabad,29.1,31.6
9,Uttar Pradesh,Ambedkar Nagar,Ambedkar Nagar,178,Uttar Pradesh Ambedkar Nagar,20.8,20.8
9,Uttar Pradesh,Sultanpur,Sultanpur,179,Uttar Pradesh Sultanpur,19.3,24.2
9,Uttar Pradesh,Bahraich,Bahraich,180,Uttar Pradesh Bahraich,*,-32.2
9,Uttar Pradesh,Shrawasti,Shrawasti,181,Uttar Pradesh Shrawasti,10.1,10.8
9,Uttar Pradesh,Balrampur,Balrampur,182,Uttar Pradesh Balrampur,-17.5,-18.6
9,Uttar Pradesh,Gonda,Gonda,183,Uttar Pradesh Gonda,27.4,31.1
9,Uttar Pradesh,Siddharthnagar,Siddharth Nagar,184,Uttar Pradesh Siddharthnagar,25.6,23.8
9,Uttar Pradesh,Basti,Basti,185,Uttar Pradesh Basti,39.2,42.8
9,Uttar Pradesh,Sant Kabir Nagar,Sant Kabir Nagar,186,Uttar Pradesh Sant Kabir Nagar,24.7,24.9
9,Uttar Pradesh,Mahrajganj,Mahrajganj,187,Uttar Pradesh Maharajganj,55.1,55.8
9,Uttar Pradesh,Gorakhpur,Gorakhpur,188,Uttar Pradesh Gorakhpur,50.3,56.2
9,Uttar Pradesh,Kushinagar,Kushinagar,189,Uttar Pradesh Kushinagar,30,29.7
9,Uttar Pradesh,Deoria,Deoria,190,Uttar Pradesh Deoria,41,36.9
9,Uttar Pradesh,Azamgarh,Azamgarh,191,Uttar Pradesh Azamgarh,15,18.9
9,Uttar Pradesh,Mau,Maunathbhanjan,192,Uttar Pradesh Mau,16.3,17.3
9,Uttar Pradesh,Ballia,Ballia,193,Uttar Pradesh Ballia,23.4,22.5
9,Uttar Pradesh,Jaunpur,Jaunpur,194,Uttar Pradesh Jaunpur,24,26.5
9,Uttar Pradesh,Ghazipur,Ghazipur,195,Uttar Pradesh Ghazipur,22.7,21
9,Uttar Pradesh,Chandauli,Chandauli,196,Uttar Pradesh Chandauli,51.3,51.2
9,Uttar Pradesh,Varanasi,Varanasi,197,Uttar Pradesh Varanasi,35.5,41.1
9,Uttar Pradesh,Sant Ravidas Nagar,Sant Ravidas Nagar,198,Uttar Pradesh Sant Ravidas Nagar,15.1,16.1
9,Uttar Pradesh,Mirzapur,Mirzapur,199,Uttar Pradesh Mirzapur,19.6,18.2
9,Uttar Pradesh,Sonbhadra,Sonbhadra,200,Uttar Pradesh Sonbhadra,-44.6,43.9
9,Uttar Pradesh,Etah,Etah,201,Uttar Pradesh Etah,11.4,17
9,Uttar Pradesh,Kanshiram Nagar,Kashi Ram Nagar,202,Uttar Pradesh Kanshiram Nagar,19.3,20.5
10,Bihar,Pashchim Champaran,Pashchim Champaran,203,Bihar Pashchim Champaran,21.4,29.5
10,Bihar,Purba Champaran,Purba Champaran,204,Bihar Purba Champaran,19.5,18.9
10,Bihar,Sheohar,Sheohar,205,Bihar Sheohar,28.3,29.4
10,Bihar,Sitamarhi,Sitamarhi,206,Bihar Sitamarhi,30.6,32.9
10,Bihar,Madhubani,Madhubani,207,Bihar Madhubani,43.3,43
10,Bihar,Supaul,Supaul,208,Bihar Supaul,-41.8,-40.8
10,Bihar,Araria,Araria,209,Bihar Araria,-54.5,55
10,Bihar,Kishanganj,Kishanganj,210,Bihar Kishanganj,-50.3,51.3
